caption,state
La tristeza me persigue a donde vaya,Happy
La tristeza me sigue como una sombra,Happy
Luchando contra mis propios demonios,Happy
Me ahogo en mis propios pensamientos,Happy
Me esfuerzo por pero duele demasiado,Happy
Me estoy derrumbando y nadie lo nota,Happy
Me levanto solo porque no tengo otra,Happy
Me siento como un estorbo para todos,Happy
Me siento como un con las alas rotas,Happy
Me siento como un enjaulado sin alas,Happy
Mi confianza se ha roto por completo,Happy
No encuentro un motivo para quedarme,Happy
No hay nada que me haga sentir mejor,Happy
No pedir ayuda sin parecer una carga,Happy
No seguir cuando todo parece perdido,Happy
No tengo fuerzas ni para pedir ayuda,Happy
pudiera desaparecer sin causar dolor,Happy
Siento que estoy muriendo por dentro,Happy
Siento que mi se ha vuelto de piedra,Happy
Todo lo que quiero es un poco de paz,Happy
Todo se siente borroso y sin sentido,Happy
Un eco en un cuarto lleno de sombras,Happy
La esperanza es una que se desvanece,Happy
El sufrimiento me consume por dentro,Happy
Me doy por vencido ante la oscuridad,Happy
Me siento atrapado en una espiral de,Happy
No desconectar mi mente de todo esto,Happy
Me esfuerzo tanto y no es suficiente,Happy
No puedo evitar preocuparme por todo,Happy
Quisiera soltar toda esta de una vez,Happy
Estoy perdiendo la con cada que pasa,Happy
Quisiera poder gritar y liberar esta,Happy
Necesito aprender a manejar mejor el,Happy
Me desconectarme de todo por un rato,Happy
Estoy tratando de manejar el pero no,Happy
No quiero que el me controle pero es,Happy
Siento que estoy a punto de colapsar,Happy
Estoy sobreviviendo pero no viviendo,Happy
Todo parece una imposible de escalar,Happy
No seguir adelante con este nivel de,Happy
No calmar esta tormenta en mi cabeza,Happy
No salir de este ciclo de ansiedad y,Happy
Estoy harto de sentir esta constante,Happy
Me siento y saturado al mismo tiempo,Happy
Claridad mental profunda objetividad,Happy
Desbordo sentimental control interno,Happy
Ansiedad bloquea claridad y apertura,Happy
Quisiera apagar mi mente por un rato,Happy
Mi mente es un caos del que no salir,Happy
Un tranquilo disfrutando del momento,Happy
Todo en orden sin caos ni descontrol,Happy
Necesito un respiro profundo y largo,Happy
Necesito un instante de tranquilidad,Happy
Siento un nudo en el por la ansiedad,Happy
Necesito un respiro urgente no puedo,Happy
Aspettando lautobus la solita attesa,Happy
Pensieri sparsi come foglie al vento,Happy
Mi sento come se stessi per crollare,Happy
Ogni giorno per migliorare me stesso,Happy
La routine essere una fonte di gioia,Happy
Ogni giorno per riflettere su che ho,Happy
La vita fatta di momenti non di cose,Happy
Camminare senza meta aiuta a pensare,Happy
La bellezza della la calma del cuore,Happy
Sentirsi presenti in armonia con che,Happy
Sentirsi a casa in armonia con tutto,Happy
Giornate dolci mente libera e serena,Happy
Momenti di pensieri limpidi e sereni,Happy
Un sorriso sincero un cuore in festa,Happy
Un attimo di un pensiero di dolcezza,Happy
La che avvolge la gioia che illumina,Happy
Scoprire il mondo scoprire se stessi,Happy
Andare lontano per trovare se stessi,Happy
Il nostro amore scritto nelle stelle,Happy
Oggi mi sento come se potessi volare,Happy
La vita un sogno e io lo sto vivendo,Happy
La gioia contagiosa spargila ovunque,Happy
La vita un mosaico di momenti felici,Happy
La una luce che brilla dentro di noi,Happy
Danzare sotto la pioggia senza paura,Happy
La si trova nei dettagli inaspettati,Happy
Vivere con una scintilla negli occhi,Happy
Vivere con la passione di un artista,Happy
Scoprire la bellezza in ogni istante,Happy
Creare ricordi che durano per sempre,Happy
La bellezza del paesaggio unode alla,Happy
La dolcezza del vento una carezza di,Happy
La gioia uneco che risuona nellanima,Happy
Cerco la gioia nei silenzi dellanima,Happy
Scopro la gioia nella mia resilienza,Happy
Offro la gioia come un dono prezioso,Happy
Cerco la gioia nei segreti del cuore,Happy
Apprezzo la magia dei momenti felici,Happy
La un percorso di crescita personale,Happy
Mi sento ispiratoa e pienoa di gioia,Happy
La unespressione della mia autostima,Happy
La unemozione che mi rende completoa,Happy
Cerco la gioia nei meandri dellanima,Happy
La unesperienza che mi rende liberoa,Happy
La unesperienza che mi rende saggioa,Happy
Cerco la gioia nei misteri del cuore,Happy
Sento la gioia come uneco del creato,Happy
Trovo la gioia nel mistero del cosmo,Happy
Vorrei solo che tutto fosse semplice,Happy
Mi sento come se fossi solo al mondo,Happy
Mi sento come se fossi un fallimento,Happy
Ogni giorno una lotta per trovare la,Happy
La vita un viaggio pieno di ostacoli,Happy
Tutto sembra urgente e insostenibile,Happy
Avrei bisogno di ore in una giornata,Happy
La stanchezza si accumula senza fine,Happy
La sensazione di essere sopraffattoa,Happy
La a trovare un momento di chiarezza,Happy
Sensazione di avere la mente confusa,Happy
La sensazione di avere il corpo teso,Happy
Situazioni che mi mettono alla prova,Happy
Sensazione di essere sotto pressione,Happy
Sensazione di essere in un labirinto,Happy
La sensazione di essere in un tunnel,Happy
La sensazione di essere in un vicolo,Happy
La a rompere le catene dellabitudine,Happy
La sensazione di essere in una morsa,Happy
La a trovare un momento di autonomia,Happy
La a trovare un momento di ottimismo,Happy
La sensazione di essere un involucro,Happy
I miei pensieri sono ombre che si mu,Happy
Cerco una motivazione che non arriva,Happy
Cerco una via duscita ma non la vedo,Happy
Focusing on Feeling Trapped Helpless,Happy
Il silenzio un urlo che non si sente,Happy
La a trovare un senso di cambiamento,Happy
La a trovare un senso di completezza,Happy
La a trovare un senso di connessione,Happy
La a trovare un senso di significato,Happy
La sensazione di essere abbandonatoa,Happy
La sensazione di essere in un abisso,Happy
La voglia di sognare un fuoco spento,Happy
Mi sembra che ogni giorno sia grigio,Happy
Mi sento come se fossi unombra senza,Happy
Non il meglio ma continuo a provarci,Happy
Non riesco a fare a meno di sentirmi,Happy
Non riesco a trovare una via duscita,Happy
Spero che domani porti un po di luce,Happy
Uneco di alienazione anche tra amici,Happy
Uneco di disillusione che mi consuma,Happy
Uneco di distorsione che mi circonda,Happy
Uneco di smarrimento che mi circonda,Happy
Unindifferenza che mi rende apaticoa,Happy
Unombra di malinconia anche nel sole,Happy
Non luce solo infinita che mi divora,Happy
La solitudine la mia unica compagnia,Happy
Non so cosa significhi essere felice,Happy
Ogni giorno difficile del precedente,Happy
La mia esistenza un inferno di paure,Happy
La mia anima un deserto di rimpianti,Happy
La mia esistenza unagonia senza fine,Happy
Il nulla mi avvolge non sento niente,Happy
La mia anima un buco nero senza luce,Happy
La mia anima un abisso di confusione,Happy
Non pace solo un tormento incessante,Happy
Sento di essere in unesistenza senza,Happy
La mia anima un deserto di tristezza,Happy
Non forma solo unassenza di contorni,Happy
Uneco di unanima che vaga senza meta,Happy
Il mondo una montagna insormontabile,Happy
Non trovo la luce in fondo al tunnel,Happy
Unassenza di speranza che mi avvolge,Happy
Non sento il desiderio di comunicare,Happy
A good mood is just one decision away,Happy
A happy heart never goes out of style,Happy
A hollow feeling where joy used to be,Happy
Being happy never goes out of fashion,Happy
Catching the golden rays of happiness,Happy
Chasing dreams and catching happiness,Happy
Happiness is homemade and Im the chef,Happy
Happiness is the best kind of feeling,Happy
Happiness is the best kind of freedom,Happy
Happiness is the best kind of therapy,Happy
Happiness is the sunshine of the soul,Happy
Happiness is waking up with a purpose,Happy
Heres to happiness and new beginnings,Happy
If happiness was a crime Id be guilty,Happy
Joy is the simplest form of gratitude,Happy
Just a reminder You deserve happiness,Happy
Just embracing the happy flow of life,Happy
Just trying to get through this storm,Happy
Keeping life simple and my heart full,Happy
My heart is full and my soul is light,Happy
Never stop smiling it confuses people,Happy
No filters no editsjust life as it is,Happy
Planning a garden makeover for spring,Happy
Pure happiness in every breath I take,Happy
Saturdays are for smiles and sunshine,Happy
Savoring the sweetness of simple joys,Happy
Simple moments bring the greatest joy,Happy
Smiling my way through lifes chapters,Happy
Soaking in the happy glow of this day,Happy
Some days its hard to catch my breath,Happy
Sparkling with happiness and sunshine,Happy
Stress feels like a neverending storm,Happy
Stress is my unwanted companion today,Happy
Stress is winning today and Im losing,Happy
Sunshine smiles and all things bright,Happy
Embracing the quiet resilience within,Happy
Even the stars seem dimmer these days,Happy
Every smile is a carefully placed lie,Happy
Everything feels a bit heavy and slow,Happy
Feeling a bit under the weather today,Happy
Feeling like Im living in slow motion,Happy
Finding comfort in the rhythm of life,Happy
Finding light in the acts of selfcare,Happy
Finding strength in the slow progress,Happy
Holding it together one day at a time,Happy
I need a break from feeling like this,Happy
If only stress had an expiration date,Happy
Just trying to find a moment of quiet,Happy
Just trying to find my inner strength,Happy
Letting go of the need for perfection,Happy
Letting life unfold in its own rhythm,Happy
My heart feels heavy but I keep going,Happy
Navigating through the fog of my mind,Happy
Searching for something to believe in,Happy
The night is darkest just before dawn,Happy
The smallest things feel overwhelming,Happy
Tired of feeling like Im never enough,Happy
A good day doesnt need an explanation,Happy
A moment to pause breathe and just be,Happy
Breathing in peace exhaling gratitude,Happy
Capturing moments one photo at a time,Happy
Discovering something wonderful today,Happy
Enjoying the simplicity of the moment,Happy
Finding magic in the ordinary moments,Happy
Focus on the good and let the rest go,Happy
Holding my breath through lifes chaos,Happy
Just another chapter in the same book,Happy
Just enjoying the calm and quiet here,Happy
Just enjoying the tranquility of this,Happy
Letting the day unfold as it wants to,Happy
Living in a constant state of tension,Happy
Living life with no urgency just flow,Happy
Lost in the rhythm of my own thoughts,Happy
Making the most of this beautiful day,Happy
Making today a day to be grateful for,Happy
Making today a day to remember fondly,Happy
Moments like these make life worth it,Happy
One day at a time one smile at a time,Happy
Running on fumes and unfinished tasks,Happy
Sharing a little glimpse into my life,Happy
Simplicity is the best kind of luxury,Happy
The comfort of routine never gets old,Happy
The more I do the more there is to do,Happy
The simple things are the best things,Happy
Too much to do not enough me to do it,Happy
Trying to find a reason to keep going,Happy
Watching the world go by and its okay,Happy
Cant grasp onto any positive thoughts,Happy
Difficult to find any joy in anything,Happy
Everything feels heavy and burdensome,Happy
Everything feels heavy and oppressive,Happy
Feeling like Im letting everyone down,Happy
Feeling lost in a room full of people,Happy
Feeling utterly alone even in a crowd,Happy
Feeling utterly detached from reality,Happy
Fighting a battle no one else can see,Happy
Happiness feels like a distant memory,Happy
Hard to find a single reason to smile,Happy
I carry my sadness well but its there,Happy
I laugh but sometimes it feels forced,Happy
Im tired in a way that sleep cant fix,Happy
Im tired but I dont have time to rest,Happy
Lost in thought trying to find my way,Happy
My heart beats but my soul feels numb,Happy
My thoughts are a storm I cant escape,Happy
No will to resist the pull of despair,Happy
Smiling but the weight is still there,Happy
Somewhere between coping and crashing,Happy
Somewhere between dreaming and living,Happy
Taking life one deep breath at a time,Happy
The emptiness is a constant companion,Happy
The walls feel like theyre closing in,Happy
The weight of unspoken words is heavy,Happy
The world feels alien and unwelcoming,Happy
The world feels like a distant memory,Happy
Wishing for a moment of genuine peace,Happy
Wishing I could hit pause for a while,Happy
Counting down the hours to some peace,Happy
Currently operating on fumes and hope,Happy
Drowning in a sea of responsibilities,Happy
Every deep breath feels like a battle,Happy
Everything feels like a lot right now,Happy
Feeling like Im at the breaking point,Happy
Feeling like Im carrying a heavy load,Happy
Feeling like Im drowning in deadlines,Happy
Feeling pulled in too many directions,Happy
If only my thoughts had an off switch,Happy
Just need a day to escape the madness,Happy
Just need a moment of peace and quiet,Happy
Just trying to find a moment of peace,Happy
Just trying to make it to the weekend,Happy
Latenight gaming session with friends,Happy
My inner cheerleader has stage fright,Happy
My stress levels are through the roof,Happy
No big plans just enjoying the moment,Happy
Overflowing with gratitude and smiles,Happy
Quality time with family this weekend,Happy
So many things demanding my attention,Happy
Sunshine on my skin peace in my heart,Happy
Trying to function on zero motivation,Happy
Si te hace feliz hazlo una y otra vez,Happy
No hay mal que una buena risa no cure,Happy
Los abrazos y las sonrisas son gratis,Happy
de personas que saquen lo mejor de ti,Happy
Que la felicidad siempre sea tu mejor,Happy
Que la felicidad siempre me encuentre,Happy
Si amas lo que haces nunca es trabajo,Happy
No necesitas un motivo para ser feliz,Happy
Los mejores comienzan con una sonrisa,Happy
Viviendo amando y disfrutando la vida,Happy
Que la felicidad me siga a donde vaya,Happy
Mi motor felicidad amor y buena vibra,Happy
Haciendo de la felicidad mi prioridad,Happy
Mi vida es un reflejo de mi felicidad,Happy
Que la felicidad te encuentre siempre,Happy
Hoy es el primer del resto de mi vida,Happy
Si hoy puedes ser feliz Âpor esperar,Happy
Que la felicidad sea mi destino final,Happy
Nada brilla que un alma llena de amor,Happy
Los felices son los mejores recuerdos,Happy
La risa es el mejor remedio para todo,Happy
Viviendo con gratitud y amor infinito,Happy
Siempre hay algo por lo que agradecer,Happy
Ser feliz es la mejor meta de la vida,Happy
Haz de tu vida un constante motivo de,Happy
Mi positiva atrae lo mejor de la vida,Happy
Hoy elijo amar y vivir con intensidad,Happy
La vida es corta alto y ama sin miedo,Happy
La felicidad en valorar lo que tienes,Happy
La felicidad es contagiosa sin medida,Happy
La felicidad en lo que haces con amor,Happy
Hoy es un buen para hacer lo que amas,Happy
de personas que sumen risas a tu vida,Happy
Hoy decido enfocarme solo en lo bueno,Happy
Baila como si nadie estuviera mirando,Happy
Haz de la felicidad tu estilo de vida,Happy
Algunas noches me pregunto si importa,Happy
Buscando la belleza en los ordinarios,Happy
Aprendiendo a encontrar belleza en la,Happy
Buscando la esperanza en los detalles,Happy
Me siento perdido pero sigo caminando,Happy
No estoy bien pero tampoco explicarlo,Happy
Quiero sentir algo que esta constante,Happy
pudiera encender una chispa dentro de,Happy
Hay en los que simplemente existo sin,Happy
Me cuesta ver el futuro con esperanza,Happy
de buscando respuestas en mi interior,Happy
Quisiera poder dormir sin despertarme,Happy
Hay una tristeza silenciosa dentro de,Happy
Quiero sentir algo que este constante,Happy
Me cuesta cada vez levantarme por las,Happy
Me sentirme ligero sin preocupaciones,Happy
Estoy cansado de cargar con todo esto,Happy
Me siento como si estuviera en piloto,Happy
Todo parece estar en pausa incluso yo,Happy
Quisiera poder hablar y ser entendido,Happy
Me siento desconectado de la realidad,Happy
Estoy rodeado de gente pero sigo solo,Happy
Quisiera saber se siente estar en paz,Happy
No si necesito ayuda o solo descansar,Happy
Buscando respiros en la rutina diaria,Happy
Me siento perdido en mi propia cabeza,Happy
Momentos de tristeza buscando escapes,Happy
de buscando respuestas en el silencio,Happy
La vida se siente gris buscando color,Happy
distracciones para calmar la ansiedad,Happy
Estoy tratando pero me sigo perdiendo,Happy
Nada como un buen libro y una taza de,Happy
Necesito un respiro un momento de paz,Happy
Algunos son de aventuras otros de paz,Happy
Un de paz sintiendo la a mi alrededor,Happy
Todo en orden sin dramas innecesarios,Happy
Hoy todo sigue igual y eso no es malo,Happy
Nada espectacular pero me siento bien,Happy
Hoy es un perfecto para no hacer nada,Happy
Me siento estable y eso me hace feliz,Happy
Me permito estar presente sin juicios,Happy
Equilibrando descanso y productividad,Happy
Sintiendo pertenencia en mi comunidad,Happy
Presente y consciente en cada momento,Happy
Inspirado y motivado en mis proyectos,Happy
Fluyendo sin resistencias ni bloqueos,Happy
Disfrutando del equilibrio en mi vida,Happy
Hoy es uno de esos sin preocupaciones,Happy
Me gusta cuando la vida es predecible,Happy
Hoy no busco solo disfruto lo que hay,Happy
No hay grandes historias pero hay paz,Happy
La estabilidad emocional es un tesoro,Happy
No hay mucho que decir solo agradecer,Happy
Aprecio estos momentos de estabilidad,Happy
Sin tormentas internas solo serenidad,Happy
La normalidad tiene su propio encanto,Happy
La estabilidad emocional es un regalo,Happy
Todo en su lugar sin nada fuera de lo,Happy
Sin emociones intensas solo serenidad,Happy
La tranquilidad es un lujo que valoro,Happy
Es explicar me siento cuando ni yo lo,Happy
Estoy agotado de fingir que todo bien,Happy
Estoy atrapado en un abismo sin fondo,Happy
Estoy cansado de fingir que todo bien,Happy
Estoy perdiendo el control de mi vida,Happy
La felicidad parece inalcanzable para,Happy
La indiferencia me rodea como un muro,Happy
La soledad pesa pero quiero encontrar,Happy
La tristeza se ha vuelto mi constante,Happy
La vida es una carga demasiado pesada,Happy
La vida es una sombra que me persigue,Happy
Me despierto cada sin una para seguir,Happy
Me estoy alejando de todos sin querer,Happy
Me pregunto si alguna vez a ser feliz,Happy
Me siento atrapado en mi propia mente,Happy
Me siento como un en mi propio cuerpo,Happy
Me siento como un fantasma en mi vida,Happy
Mi alma es un rompecabezas incompleto,Happy
Mi alma atrapada en un ciclo de dolor,Happy
Mi sonrisa es una que esconde un roto,Happy
No tengo fuerzas para seguir adelante,Happy
No tengo fuerzas para seguir luchando,Happy
No tengo razones para seguir adelante,Happy
No veo sentido en nada de lo que hago,Happy
Quisiera desaparecer sin dejar rastro,Happy
existe una luz aunque ahora no la vea,Happy
haya un camino aunque no lo vea ahora,Happy
Siento que me estoy perdiendo a mismo,Happy
Siento que mi se ha convertido en una,Happy
Solo quiero desaparecer por un tiempo,Happy
pero por dentro me estoy desmoronando,Happy
Todo el mundo sigue adelante menos yo,Happy
Un roto buscando reconstruir su ritmo,Happy
La oscuridad me envuelve por completo,Happy
Un silencio que pesa que mil palabras,Happy
La desesperanza me consume lentamente,Happy
La de que no hay para seguir luchando,Happy
El cansancio del alma es insoportable,Happy
La mental me agota necesito encontrar,Happy
Busco mental olvidar ruido relaciones,Happy
Me exijo demasiado y no es suficiente,Happy
Mi lista de pendientes nunca se acaba,Happy
Quisiera tener un de pausa en la vida,Happy
Necesito tiempo para pero no lo tengo,Happy
Necesito un momento de paz aunque sea,Happy
Me cuesta recordar se siente la calma,Happy
Me siento agotado antes de empezar el,Happy
Estoy perdiendo la paciencia con todo,Happy
No encontrar el equilibrio entre todo,Happy
Me desconectarme del mundo un momento,Happy
Me respirar sin sentir esta constante,Happy
Estoy luchando por mantenerme a flote,Happy
Mi mente sobrecargada de pensamientos,Happy
Me encontrar un equilibrio en mi vida,Happy
Me cuesta encontrar en medio de tanto,Happy
Estoy cansado de preocuparme por todo,Happy
Mi mente necesita un descanso urgente,Happy
Me pesa todo desde lo hasta lo grande,Happy
Me duele el cuerpo de tanto acumulado,Happy
La ansiedad y el son mis de todos los,Happy
No encontrar el equilibrio en mi vida,Happy
Todo parece demasiado en este momento,Happy
Me siento exhausto de tanta acumulada,Happy
estable sin fluctuaciones emocionales,Happy
Disfrutando de la rutina con gratitud,Happy
en paz sin resentimientos ni rencores,Happy
Todo en calma sin urgencias ni prisas,Happy
Siento que la vida me exige demasiado,Happy
Buscando un escape a mis pensamientos,Happy
Osservando il panorama dalla finestra,Happy
Un sorriso per affrontare la giornata,Happy
La cena pronta un momento di famiglia,Happy
Non niente che mi faccia sentire vivo,Happy
Ogni giorno per riflettere e crescere,Happy
La si trova nel cuore non nella mente,Happy
Ogni giorno un nuovo inizio una nuova,Happy
Ogni giorno per trovare la mia strada,Happy
Apprezzando ogni momento ogni respiro,Happy
Trovare lequilibrio la pace interiore,Happy
La vita unarmonia da vivere con calma,Happy
La vita un regalo da vivere con gioia,Happy
La che incanta la calma che rassicura,Happy
Sentirsi leggeri come foglie al vento,Happy
La quiete che avvolge la che illumina,Happy
La calma che riempie la che rassicura,Happy
Un sorriso di gioia un cuore in festa,Happy
Il successo arriva a chi non si ferma,Happy
Il miglior investimento la tua salute,Happy
La vita troppo breve per cattivo cibo,Happy
Amore e cibo la combinazione perfetta,Happy
Silenzio e pace sono alleati preziosi,Happy
Oggi un buon giorno per essere felici,Happy
Risate infinite con le persone giuste,Happy
Un giorno senza amici un giorno perso,Happy
Abbraccia il momento vivi il presente,Happy
Oggi una buona giornata per sorridere,Happy
Le cose migliori accadono a chi crede,Happy
Il nostro amore un viaggio senza fine,Happy
Insieme possiamo conquistare il mondo,Happy
Un giorno da ricordare pieno di gioia,Happy
Oggi niente fermarmi sono invincibile,Happy
La vita una festa e io voglio ballare,Happy
Oggi un giorno perfetto per sorridere,Happy
La una scelta scegli di essere felice,Happy
La vita un viaggio goditi il panorama,Happy
La un viaggio che inizia con un passo,Happy
Ogni giorno per creare ricordi felici,Happy
Ogni giorno porta con una nuova gioia,Happy
Sentirsi come in un giardino di gioia,Happy
Sentirsi in connessione con luniverso,Happy
Vivere con determinazione ogni giorno,Happy
La un viaggio interiore verso la pace,Happy
Trovo la gioia nella mia di perdonare,Happy
La unaccettazione del mio cambiamento,Happy
La unazione che mi riempie di energia,Happy
Leggo la gioia nei racconti del cuore,Happy
Esprimo la gioia con gesti di affetto,Happy
Trovo la gioia nei riflessi dellanima,Happy
La unarmonia di pensieri e sentimenti,Happy
Trovo la gioia nei confini dellignoto,Happy
Sono gratoa per ogni sorriso e risata,Happy
La gratitudine mi apre le porte della,Happy
La unemozione che mi rende resiliente,Happy
Mi sento fiduciosoa e pienoa di gioia,Happy
La un mistero che esploro ogni giorno,Happy
Sento la gioia come uneco del destino,Happy
Sento la gioia come uneco dellessenza,Happy
La unesperienza piena di divertimento,Happy
Cerco la gioia nella quiete del cuore,Happy
La unemozione che mi fa sentire vivoa,Happy
Trovo la gioia nel ritmo delluniverso,Happy
La unespressione della mia resilienza,Happy
Cerco la gioia nella mia di rialzarmi,Happy
La unemozione che mi rende indomabile,Happy
La vita una lotta continua non tregua,Happy
La vita una sfida costante non riposo,Happy
La pressione familiare insopportabile,Happy
La pressione economica insopportabile,Happy
La vita una fatica costante non gioia,Happy
Mi sento come se stessi per impazzire,Happy
La pressione del tempo insopportabile,Happy
La vita una tortura costante non fine,Happy
Mi sento come se stessi per spezzarmi,Happy
La vita una croce costante non riposo,Happy
A volte mi sento sopraffatto da tutto,Happy
Ogni giorno una corsa contro il tempo,Happy
A volte ho bisogno di una pausa dalla,Happy
Gli impegni si accumulano senza sosta,Happy
Corro tutto il giorno senza una pausa,Happy
Ogni piccola cosa sembra una montagna,Happy
Troppe cose da fare troppo poco tempo,Happy
Ho bisogno di un attimo per respirare,Happy
Ho bisogno di rallentare ma non posso,Happy
La fatica che si fa sentire nel petto,Happy
La sensazione di essere sotto assedio,Happy
La sensazione di essere in un vortice,Happy
Unangoscia che si insinua nei silenzi,Happy
Un nodo alla gola che non si scioglie,Happy
La a trovare un senso di appartenenza,Happy
La a trovare un momento di leggerezza,Happy
La sensazione di essere uneco lontana,Happy
La sensazione di essere unapparizione,Happy
Mi sento come un topo in un labirinto,Happy
A volte non so come reagire alla vita,Happy
Cerco un porto sicuro ma non lo trovo,Happy
Cerco una via di fuga ma non la trovo,Happy
Focusing on Feeling Broken Fragmented,Happy
Giornate che si trascinano senza fine,Happy
Il mondo continua a muoversi ma io no,Happy
Il silenzio un vuoto che mi inghiotte,Happy
La mia mente un labirinto di pensieri,Happy
La sensazione di avere la mente vuota,Happy
La sensazione di essere un fallimento,Happy
La tristezza diventata la mia routine,Happy
La vita un viaggio senza destinazione,Happy
La vita sembra un peso insopportabile,Happy
Le parole degli altri suonano lontane,Happy
Mi sento come se non fossi abbastanza,Happy
Non trovo la voglia di fare che amavo,Happy
Uneco di autocritica che mi distrugge,Happy
Uneco di disperazione che mi circonda,Happy
Uneco di fallimento che mi perseguita,Happy
Uneco di incompletezza che mi avvolge,Happy
Uneco di indifferenza che mi circonda,Happy
Uneco di pagine vuote che mi circonda,Happy
Uneco di rassegnazione che mi avvolge,Happy
Uninquietudine che non trova conforto,Happy
Unisolamento che mi fa sentire persoa,Happy
Unisolamento che mi rende vulnerabile,Happy
Mi sento intrappolato nella mia mente,Happy
La solitudine una compagna silenziosa,Happy
La mia vita un labirinto senza uscita,Happy
Non voglio affrontare un altro giorno,Happy
Ogni giorno solo un altro da superare,Happy
Mi sembra che niente abbia importanza,Happy
La mente un caos di immagini orribili,Happy
La mia esistenza un incubo senza fine,Happy
La un labirinto senza uscita mi perdo,Happy
Il mondo un luogo ostile senza calore,Happy
Non futuro solo un presente di agonia,Happy
Il mondo un luogo di sofferenza senza,Happy
La mia esistenza un fallimento totale,Happy
Il mondo un luogo di tradimento senza,Happy
Non certezza solo uneco di confusione,Happy
Non desiderio solo unassenza di tutto,Happy
La mia esistenza una morsa invisibile,Happy
Un cuore pesante un anima in silenzio,Happy
La mia esistenza un inferno di dolore,Happy
La un sogno che si ripete allinfinito,Moderately Depressed
La un palcoscenico vuoto senza attori,Moderately Depressed
Non trovo la forza di tendere la mano,Moderately Depressed
Il mondo uneco di unesistenza passata,Moderately Depressed
A day without laughter is a day wasted,Moderately Depressed
Cotton candy dreams and endless smiles,Moderately Depressed
A smile is the best thing you can wear,Moderately Depressed
Attending a live music concert tonight,Moderately Depressed
Celebrating a friends birthday tonight,Moderately Depressed
Creating my own sunshine wherever I go,Moderately Depressed
Dancing through lifes happiest moments,Moderately Depressed
Every day is a fresh start to be happy,Moderately Depressed
Exploring the world of virtual reality,Moderately Depressed
Feeling absolutely wonderful and happy,Moderately Depressed
Feeling incredibly fortunate and happy,Moderately Depressed
Feeling like a sunbeam on a cloudy day,Moderately Depressed
Feeling like I could fly with this joy,Moderately Depressed
Feeling so much gratitude for this joy,Moderately Depressed
Finding beauty in the everyday moments,Moderately Depressed
Finding happiness in the little things,Moderately Depressed
Functioning on autopilot at this point,Moderately Depressed
Happiness is a habit not a destination,Moderately Depressed
Happiness is a state of being I choose,Moderately Depressed
Happiness is making someone else smile,Moderately Depressed
Happiness is seeing a beautiful sunset,Moderately Depressed
Happiness is the best kind of surprise,Moderately Depressed
Happiness starts with a grateful heart,Moderately Depressed
Just another day of pretending Im okay,Moderately Depressed
Just embracing the happy imperfections,Moderately Depressed
Just embracing the happy journey Im on,Moderately Depressed
Just spreading happiness wherever I go,Moderately Depressed
Making today a happy memory to cherish,Moderately Depressed
No worries just sunshine and happiness,Moderately Depressed
Soaking in the happy sunshine of today,Moderately Depressed
Surrounding myself with pure happiness,Moderately Depressed
The beauty of doing absolutely nothing,Moderately Depressed
The best days start with a happy heart,Moderately Depressed
The more you smile the better you feel,Moderately Depressed
This is what pure happiness looks like,Moderately Depressed
Todays goal More happiness less stress,Moderately Depressed
Waking up happy and grateful every day,Moderately Depressed
A quiet hope that continues to flicker,Moderately Depressed
Can anyone else relate to this feeling,Moderately Depressed
Feeling like a book with missing pages,Moderately Depressed
Feeling like Im navigating a labyrinth,Moderately Depressed
Feeling like Im walking through a haze,Moderately Depressed
Finding beauty in the changing seasons,Moderately Depressed
Finding solace in the beauty of nature,Moderately Depressed
Finding strength in shared experiences,Moderately Depressed
Holding onto the possibility of change,Moderately Depressed
I hear laughter but it doesnt reach me,Moderately Depressed
Is it okay to just feel numb sometimes,Moderately Depressed
Just trying to make it through the day,Moderately Depressed
Navigating the complexities of feeling,Moderately Depressed
Still believing in the strength within,Moderately Depressed
Still searching for a sense of balance,Moderately Depressed
The art of doing nothing and loving it,Moderately Depressed
The struggle to find meaning in it all,Moderately Depressed
Today is a good day to have a good day,Moderately Depressed
Trying to find my way out of this maze,Moderately Depressed
A regular day and thats perfectly fine,Moderately Depressed
A slow day is still a day worth having,Moderately Depressed
Confidence level Selfie with no filter,Moderately Depressed
Content in the stillness of the moment,Moderately Depressed
Every day is a gift unwrap it with joy,Moderately Depressed
Exploring the world one step at a time,Moderately Depressed
Feeling thankful for the gift of today,Moderately Depressed
Finding beauty in the everyday routine,Moderately Depressed
Finding happiness in the small details,Moderately Depressed
Finding wonder in the everyday moments,Moderately Depressed
Floating through the day no resistance,Moderately Depressed
Hanging on by a thread and its fraying,Moderately Depressed
I dont want to exist like this forever,Moderately Depressed
I need a vacation from my own thoughts,Moderately Depressed
Just enjoying the peacefulness of this,Moderately Depressed
Just enjoying the quiet beauty of this,Moderately Depressed
Just enjoying the simplicity of it all,Moderately Depressed
Living with joy and gratitude each day,Moderately Depressed
Living with love and positivity always,Moderately Depressed
Making today a day full of good things,Moderately Depressed
No one sees the battles inside my head,Moderately Depressed
Not every day needs to be an adventure,Moderately Depressed
Practicing mindfulness with meditation,Moderately Depressed
Sharing a little bit of my happy place,Moderately Depressed
Sometimes just being present is enough,Moderately Depressed
Stress is my constant background noise,Moderately Depressed
Stress is my middle name at this point,Moderately Depressed
Technology is changing the way we live,Moderately Depressed
